full_name
"Albany Park Multicultural Academy"
"Ames Middle School"
"ASPIRA Charter - Haugan Campus"
"Evergreen Academy Middle School"
"Francisco I Madero Middle School"
"Irene C. Hernandez Middle School for the Advancement of Science"
"KIPP Charter Bloom"
"LEARN Charter - Middle School Campus"
"Miriam G Canter Middle School"
"Northwest Middle School"
"Thurgood Marshall Middle School"
"University of Chicago Charter - Carter G Woodson"
